ra,dec,d
106.5479316,6.189334316,486.1567
106.4334047,6.24624139,484.5964
106.3180027,6.303732469,483.038
106.2018151,6.361629436,481.4815
106.0849308,6.419976758,479.9268
105.9671692,6.478906657,478.3741
105.8485746,6.538329749,476.8233
105.729191,6.598156578,475.2746
105.6090176,6.658609312,473.7278
105.4880084,6.719553457,472.1831
105.3661627,6.780988354,470.6405
105.2434796,6.842913313,469.1
105.1200028,6.905461568,467.5617
104.9955967,6.968453403,466.0255
104.8704401,7.031978089,464.4916
104.7443517,7.096167679,462.9599
104.6174661,7.160754482,461.4305
104.4896465,7.226004473,459.9034
104.3609369,7.291827785,458.3786
104.2313815,7.358134492,456.8563
104.1010238,7.425057668,455.3363
103.9696827,7.492506082,453.8188
103.8374015,7.560612738,452.3038
103.7043142,7.629332684,450.7913
103.5702396,7.698574485,449.2814
103.4353563,7.76842724,447.7741
103.2995275,7.838933554,446.2694
103.1626616,7.910046937,444.7673
103.0249827,7.981767443,443.268
102.8862638,8.054092261,441.7715
102.7466833,8.127110409,440.2777
102.6061052,8.200640913,438.7867
102.4646166,8.274950756,437.2986
102.3220813,8.349858782,435.8134
102.1786778,8.425453949,434.3311
102.0342241,8.501643909,432.8518
101.8887627,8.578561202,431.3754
101.7423374,8.656115018,429.9022
101.5949465,8.734303481,428.4321
101.4464959,8.813302601,426.965
101.2970756,8.892932416,425.5012
101.1466375,8.973279826,424.0405
100.9950892,9.054297162,422.5831
100.8426088,9.136073243,421.129
100.6890137,9.218514704,419.6783
100.5344357,9.301799267,418.2309
100.3787844,9.385655452,416.7869
100.2220088,9.470393097,415.3464
100.0642451,9.555742892,413.9094
99.90535188,9.641968874,412.476
99.74541899,9.728890516,411.0462
99.58430711,9.816548061,409.62
99.42214725,9.905119026,408.1975
99.25884905,9.994331049,406.7787
99.09445326,10.08431571,405.3638
98.9289101,10.17515863,403.9526
98.76235328,10.26681372,402.5454
98.59446208,10.35922836,401.142
98.42550375,10.45253707,399.7426
98.25543148,10.54660153,398.3472
98.08419486,10.6415068,396.9559
97.91169997,10.73720284,395.5687
97.73812357,10.83377817,394.1857
97.56323412,10.93122489,392.8069
97.38730255,11.02945423,391.4323
97.21000257,11.12863505,390.062
97.03160501,11.22867858,388.6961
96.85192515,11.32948747,387.3346
96.67100149,11.43119205,385.9776
96.48887211,11.53392267,384.6251
96.30544697,11.63740427,383.2772
96.12080654,11.74190205,381.9338
95.93486089,11.8471406,380.5951
95.74764205,11.95347329,379.2612
95.55919824,12.06058291,377.932
95.36938024,12.16872874,376.6077
95.17827865,12.2777285,375.2883
94.98579152,12.38775268,373.9738
94.79209984,12.49866608,372.6644
94.59705927,12.61050358,371.36
94.40061525,12.72334685,370.0607
94.2029003,12.83714868,368.7666
94.00376915,12.95194303,367.4777
93.80321513,13.06772291,366.1941
93.60128039,13.18439332,364.9159
93.39808977,13.30213043,363.6431
93.19331621,13.42087139,362.3757
92.98723125,13.54052865,361.1139
92.77972908,13.66127002,359.8576
92.57080183,13.78308758,358.607
92.36040084,13.90583747,357.3621
92.14855881,14.02964705,356.123
91.93522702,14.15437202,354.8897
91.72047786,14.28027524,353.6624
91.50417191,14.40716345,352.4409
91.2864808,14.53512467,351.2256
91.06721505,14.6640523,350.0163
90.84635473,14.79415952,348.8131
90.62413175,14.92522428,347.6161
90.40029445,15.05744876,346.4254
90.17493407,15.19064872,345.2412
89.94793861,15.32498727,344.0633
89.71948962,15.46032947,342.8919
89.4894741,15.59683802,341.727
89.25779048,15.734452,340.5688
89.02447879,15.87307318,339.4173
88.78970789,16.01278967,338.2726
88.553182,16.15366248,337.1346
88.3150827,16.29555666,336.0036
88.07538342,16.4386825,334.8795
87.83394318,16.58284045,333.7624
87.59092909,16.72811837,332.6525
87.346185,16.87453838,331.5497
87.09974987,17.02200099,330.4542
86.85164676,17.17062897,329.3661
86.60182446,17.32027168,328.2853
86.35034151,17.47118811,327.2119
86.09710979,17.62309033,326.1462
85.84209653,17.77618522,325.088
85.5853396,17.93037227,324.0375
85.32685853,18.08577285,322.9948
85.0665113,18.2421822,321.9599
84.80455082,18.39974071,320.933
84.5407256,18.55841243,319.914
84.27510759,18.71823287,318.903
84.00767865,18.87918507,317.9002
83.73833059,19.04119866,316.9056
83.46722403,19.20436189,315.9193
83.19433973,19.36865729,314.9414
82.9195122,19.53409714,313.9719
82.64286709,19.70063256,313.011
82.36429468,19.86819105,312.0586
